Symbol,May-22,Jun-22
 Barley ,"3,165","3,166"
 Bajra ,"2,207","2,131"
 Castorseed ,"7,402","7,480"
 CASTOROIL ,"1,512","1,525"
 Chana ,NA,NA
 Cotton seed oil cake ,"2,802","2,648"
 CPO ,NA,NA
 Coriander ,"11,178","11,344"
 Guargum ,"11,262","9,611"
 Guar seed ,"5,836","5,134"
 Gur ,"1,279","1,284"
 Jeera ,"21,195","21,310"
 Kapas ,"1,786","1,786"
 Maize ,"2,218","2,257"
 RM seed ,NA,NA
 Soy bean ,"7,014","6,609"
 Refined Soy Oil ,"1,509","1,355"
 Soyameal ,"58,150","57,160"
 Turmeric ,"7,918","7,816"
